Console,Name,Publisher,Total Sales,Release Date,genres
PS4,FIFA 18,EA Sports,11800000.0,2017-09-29,Sports
PS4,FIFA 17,Electronic Arts,10940000.0,2016-09-27,Sports
PS3,Call of Duty: Modern Warfare 2,Activision,10610000.0,2009-11-10,Shooter
PS4,FIFA 19,Electronic Arts,9150000.0,2018-09-28,"Simulation, Sports"
PS3,FIFA 13,EA Sports,8010000.0,2012-09-25,Sports
PS3,FIFA 14,EA Sports,6610000.0,2013-09-24,Sports
PS4,FIFA 15,EA Sports,6320000.0,2014-09-23,Sports
PS3,Call of Duty: World at War,Activision,5430000.0,2008-11-10,Shooter
PS3,Final Fantasy XIII,Square Enix,5350000.0,2010-03-09,RPG
PS4,Final Fantasy XV,Square Enix,5070000.0,2016-11-29,RPG
PS3,FIFA 15,EA Sports,4560000.0,2014-09-23,Sports
PS4,Far Cry 4,Ubisoft,4060000.0,2014-11-18,Shooter
PS3,Fallout 3,Bethesda Softworks,4000000.0,2008-10-28,"Shooter, RPG"
PS4,NBA 2K16,2K Sports,3980000.0,2015-09-29,Sports
PS4,Battlefield 4,Electronic Arts,3940000.0,2013-11-15,Shooter
PS3,Sports Champions,Sony Computer Entertainment,3880000.0,2010-09-17,"Casual, Arcade, Sports"
PS4,Gran Turismo Sport,Sony Interactive Entertainment,3770000.0,2017-10-17,Racing
PS3,Battlefield 4,Electronic Arts,3640000.0,2013-10-29,Shooter
PS4,FIFA 14,EA Sports,3430000.0,2013-11-15,Sports
PS4,Madden NFL 16,EA Sports,3300000.0,2015-08-25,Sports
PS4,Madden NFL 17,EA Sports,3280000.0,2016-08-23,Sports
PS3,The Elder Scrolls IV: Oblivion,Bethesda Softworks,3120000.0,2007-03-20,"Indie, Adventure, RPG"
PS3,Mortal Kombat (2011),Warner Bros. Interactive Entertainment,2900000.0,2011-04-19,Fighting
PS3,Medal of Honor,Electronic Arts,2820000.0,2010-10-12,Shooter
PS3,Need for Speed: Hot Pursuit,Electronic Arts,2810000.0,2010-11-16,"Racing, Arcade"
PS3,Madden NFL 13,EA Sports,2710000.0,2012-08-28,Sports
